,in_degree,out_degree,in_eigenvalue,out_eigenvalue,in_betweenness,out_betweenness,dis_betweenness,cfbetweenness,in_closeness,out_closeness,dis_closeness,cfcloseness,in_flow,out_flow,in_ave_flow,out_ave_flow,in_std_flow,out_std_flow,in_ave_distance,out_ave_distance,antenna
1460,0.007593334739506434,0.008226112634465302,7.307060487201481e-08,5.008706097417862e-08,0.0007764211470634567,0.0007764211470634567,0.00483891053739621,0.000755614110063331,0.964048521379951,0.9587874653973659,15.535477091771483,0.0027316708717768437,222.28333333333333,226.0,6.174537037037037,5.794871794871795,14.102709925925623,13.646164606194185,0.008186804351899783,0.011827011568933158,08405234
1461,0.007804260704492723,0.007593334739506434,2.0768784704853618e-07,1.2132723817420675e-07,0.0008056570877799108,0.0008056570877799108,0.006765170267407455,0.0013597832986122734,1.0707276900146332,1.111699170983788,14.355912064078177,0.0030801091928832135,247.6,249.10000000000002,6.691891891891892,6.919444444444445,16.87517172490607,17.04606933982939,0.011551549017703123,0.01632672603920575,08415607
1462,0.01054629824931449,0.00949166842438304,3.61213296798137e-08,8.590798184450976e-08,0.0011925326868497006,0.0011925326868497006,0.1192944565961401,0.001894367806367314,1.0686765135946097,1.0579463409348058,13.997172226915284,0.0031997686616188005,154.74999999999997,137.18333333333334,3.0949999999999993,3.0485185185185184,3.6999192934140845,3.483628061644826,0.01955541278816055,0.017835821747036355,056FAE08
1463,0.016030373338958025,0.015186669479012867,8.668975876557491e-07,7.047039828846335e-07,0.0015183109547114364,0.0015183109547114364,0.14356953554655452,0.0018901973919832884,1.2327212644622154,1.1695219153895762,13.688385561043537,0.003572374188487025,617.6833333333334,611.6666666666666,8.127412280701755,8.49537037037037,33.90886895835222,34.8894783016187,0.023647056086414417,0.02305207138907909,074435E1
1464,0.013288335794136259,0.017506855093862055,1.8895994508968288e-05,1.9068469449904695e-05,0.0005188155750580492,0.0005188155750580492,0.004912091706531576,0.0015602079046558455,1.1699219437276165,1.1343701629634841,15.422003219183415,0.003493725761366162,248.7,277.8333333333333,3.9476190476190474,3.3473895582329316,7.0394497196696495,5.948351712750268,0.02458988319801054,0.02846501734351046,082B3940
1465,0.02214722632356043,0.02383463404345075,1.8378078112777515e-06,1.937138350743655e-06,0.0007308985179113524,0.0007308985179113524,0.004488463988202757,0.0022198076374963433,1.1415189239845926,1.068743110529677,13.37106145386499,0.0036675202309230967,445.3,429.34999999999997,4.240952380952381,3.7995575221238935,13.108244311662808,12.407879720373089,0.037842284898939656,0.03387385763990279,0744272A
1466,0.010124446319341911,0.01139000210925965,4.7114571227702196e-06,4.74335271645304e-06,0.002887282766280681,0.002887282766280681,0.5005097796328828,0.001273112301699633,1.1681544281265417,1.1110953368482235,7.742358400501254,0.0030343596953079275,309.2666666666667,323.71666666666664,6.443055555555556,5.9947530864197525,14.631962901428007,14.167123022451397,0.03404835236244339,0.033478635984842235,0821523D
1467,0.0065387049145749845,0.007171482809533854,9.516578276001677e-09,1.071189858195434e-10,0.0005215745222793888,0.0005215745222793888,0.035436353485278065,0.0010757644653216786,0.8436156239876795,0.8195339558363351,14.357245883421546,0.0027645063176298403,124.13333333333333,129.01666666666665,4.004301075268817,3.7946078431372543,6.900645348946309,6.524248035437674,0.007561540134486243,0.006562021903798253,0564CB39
1468,0.004851297194684666,0.004218519299725797,4.72842005663472e-08,3.7344150066789344e-08,0.0,0.0,0.002549494724882866,0.00041398808992759907,0.9754316529141424,0.895995841720443,14.86548655704737,0.0021418530887173273,69.38333333333333,64.6,3.016666666666666,3.2299999999999995,3.5788529455395484,3.71061016246355,0.005902027468435889,0.004021010304617434,083E5585
1469,0.007593334739506434,0.007171482809533854,7.786261318285936e-07,1.803395167075258e-07,0.0011191090914430806,0.0011191090914430806,0.006097366541706415,0.001017516005378191,1.0650368364411043,1.0603167733204995,15.09128549256085,0.0029181496026327177,274.5,273.65000000000003,7.625,8.048529411764706,23.005546332070384,23.641367093157886,0.01631734277198784,0.010683755372477096,0854578E
1470,0.016030373338958025,0.012866483864163678,5.388199020817098e-07,3.830192695671756e-07,0.0018684302569291849,0.0018684302569291849,0.004999077567981313,0.0014957509136756092,1.2052623307370405,1.1444521721967311,11.84210829334955,0.0034396762788802076,657.45,630.9333333333333,8.650657894736844,10.343169398907103,39.9253032850526,44.45076125867653,0.031231150620502284,0.024499522237997,0720552D
1471,0.01139000210925965,0.014342965619067708,1.8854931588914574e-07,5.740414800229135e-06,0.00012232815986230183,0.00012232815986230183,0.0034248570440268368,0.0011574710466817932,1.1474630770782386,1.0913897389376777,13.844459327125847,0.003302465850937932,252.68333333333334,272.0333333333333,4.679320987654321,4.000490196078431,12.681446841089809,11.10801025911349,0.01757810170364332,0.022250367650923693,071E57A4
1472,0.01096815017928707,0.015397595443999157,3.737032912301545e-06,1.0326519526436979e-06,0.002305189401726745,0.002305189401726745,0.0014490425928850952,0.0016921960021393687,1.2070496842178458,1.2207520170957158,15.982428983735597,0.00351008236689882,538.7,588.3666666666668,10.359615384615385,8.059817351598175,39.258511699728395,33.48625218663585,0.01852369160827127,0.026308067373723827,08545311
1473,0.007593334739506434,0.008858890529424172,2.2130981106918593e-07,4.881397917581492e-07,0.0011235145071674779,0.0011235145071674779,0.01290804591663813,0.0016204635258663272,1.0543690738967415,1.0565570296974895,12.392640906678256,0.0030471560414419108,216.10000000000002,224.53333333333333,6.002777777777778,5.346031746031746,11.380714207122393,10.592704143813195,0.012433126763743082,0.012956083347926538,08215267
1474,0.01139000210925965,0.008858890529424172,3.809746301149003e-07,1.2279003546914738e-07,0.0013449867704030823,0.0013449867704030823,0.049338741866498406,0.0010858982232750682,1.1587062769502805,1.067061284416127,10.844397976311841,0.0030744631815308706,534.0666666666666,524.9000000000001,9.890123456790123,12.49761904761905,34.577119108282865,38.93066479008203,0.02678569298122777,0.019504352903111498,074455AC
1475,0.010124446319341911,0.0069605568445475635,2.322692967175538e-05,1.929593312149756e-05,0.000754438567590202,0.000754438567590202,0.002648125647180712,0.0006963575537308692,1.0921752590877076,1.0448068833714954,8.024360987451395,0.0028526922725128252,674.6999999999999,652.2166666666666,14.056249999999999,19.764141414141413,43.360792131496325,52.355771925284984,0.029167945327332412,0.03080077377974061,07302EBA
